year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,saledate
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a71eg328703,tx,49,11485,gray,gray,kia motors america  inc,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a71eg318141,tx,26,14265,white,beige,kia motors america  inc,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2006,Chrysler,Town and Country,Limited,Minivan,automatic,2a8gp64l96r821834,az,19,92649,gold,tan,onesource/southwest remarketing,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2006,Chevrolet,Silverado 1500,LS,Extended Cab,,1gcek19bx6z269153,tx,22,166999,white,gray,texas direct auto,Wed Feb 25 2015 02:20:00 GMT-0800 (PST)
2013,Chevrolet,Black Diamond Avalanche,LT,Crew Cab,automatic,3gntkfe78dg263779,tn,43,29265,—,black,north lily auto sales llc,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
2014,Chevrolet,Malibu,LT,Sedan,automatic,1g11e5sl2ef297053,nj,2,26735,gray,black,enterprise vehicle exchange / tra / rental / tulsa,Wed Feb 04 2015 04:00:00 GMT-0800 (PST)
2011,Toyota,Prius,Three,hatchback,automatic,jtdkn3duxb1438742,tn,45,30065,white,gray,world omni financial corporation,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2003,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftnw21p63eb79843,nc,22,218181,blue,—,primeritus remarketing/cci,Mon Jan 26 2015 01:30:00 GMT-0800 (PST)
2007,,,,,,salsk25477a998624,pa,28,175618,white,beige,r hollenshead auto sales inc,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2013,Chevrolet,Camaro,LT,Coupe,automatic,2g1fc1e39d9171859,fl,35,35270,orange,black,ez rent a car inc,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2005,Cadillac,CTS,Base,Sedan,automatic,1g6dp567850176903,ca,,174882,gray,—,st claire cadillac/ st claire oldsmobile,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1999,Kia,Sportage,Base,SUV,automatic,kndjb7234x5608342,tx,1,96309,beige,gray,purple heart,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2012,Volkswagen,Jetta,SE PZEV,sedan,automatic,3vwdp7aj3cm061371,il,43,29285,gray,black,vw credit,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
2012,Ford,Escape,Limited,suv,,1fmcu0e73ckb94471,nj,48,33513,—,black,ari,Tue Jun 09 2015 05:45:00 GMT-0700 (PDT)
2009,Toyota,Corolla,LE,sedan,automatic,jtdbl40e19j014113,fl,22,57914,green,gray,david j leahy jr,Thu Jun 11 2015 08:30:00 GMT-0700 (PDT)
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e0xcf359628,mn,44,48426,gray,black,meier & company,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2007,Nissan,Titan,XE,King Cab,automatic,1n6aa06a57n210461,tx,19,62597,black,gray,wells fargo dealer services,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
2010,Hyundai,Accent,GLS,sedan,automatic,kmhcn4ac1au418670,ma,23,89976,white,gray,capital one auto finance,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2012,Dodge,Caliber,SE,Wagon,manual,1c3cdwba2cd509339,tx,28,29365,black,gray,music city autoplex llc,Wed Feb 04 2015 02:20:00 GMT-0800 (PST)
2013,Toyota,Avalon,XLE,Sedan,automatic,4t1bk1eb9du048657,va,28,50506,gray,gray,the hertz corporation,Thu May 28 2015 02:20:00 GMT-0700 (PDT)
2010,Acura,RDX,SH-AWD,SUV,automatic,5j8tb1h27aa007950,il,28,60293,silver,gray,perillo bmw inc,Thu Jan 15 2015 10:00:00 GMT-0800 (PST)
2003,Mercedes-Benz,CLK-Class,CLK320,Coupe,automatic,wdbtj65j53f046454,fl,3,76283,gold,beige,mercedes benz of north orlando,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
2014,Ram,2500,SLT,Crew Cab,,3c6ur5dl6eg213392,pa,41,20518,white,gray,tdaf remarketing,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb2e7163418,ne,42,46159,red,black,the hertz corporation,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
2014,Chevrolet,Silverado 1500,LT,Double Cab,automatic,1gcvkrec3ez105352,mi,5,12042,white,black,kevins marysville auto sales inc,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2009,Honda,CR-V,EX,suv,automatic,3czre48579g705445,ca,43,67668,blue,gray,east bay bmw,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2008,Buick,LaCrosse,Super,Sedan,automatic,2g4wn58c881286957,oh,43,61756,silver,gray,jr's auto city inc,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2004,dodge,stratus,v6 es,,automatic,1b3el56t44n194716,ma,19,173194,white,gray,first chrysler dodge  jeep  ram,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
2009,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bk32g991234045,az,21,128618,blue,beige,jpmorgan chase bank n.a.,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
2011,Ford,F-350 Super Duty,XLT,crew cab,automatic,1ft8w3bt2beb70747,ut,28,75190,white,gray,gsa sales inc,Wed Jun 17 2015 04:10:00 GMT-0700 (PDT)
2013,Chevrolet,Equinox,LT,suv,automatic,2gnaldek5d6308606,hi,46,22652,—,black,apex fleet as agent or assignee of gecfs,Wed Jun 17 2015 09:00:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h76dr176683,co,39,18325,silver,black,ford motor credit company llc pd,Wed Mar 04 2015 03:00:00 GMT-0800 (PST)
2008,Ford,F-150,XL,Regular Cab,automatic,1ftrf12238kf05718,tx,22,69746,black,gray,td auto finance,Wed Jan 28 2015 02:15:00 GMT-0800 (PST)
2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38757b088864,ga,3,121160,blue,gray,carworks inc,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5,sedan,automatic,1n4al2ap8cc120589,co,43,29644,black,black,nissan-infiniti lt,Tue Jun 09 2015 05:00:00 GMT-0700 (PDT)
2008,Dodge,Nitro,SXT,SUV,automatic,1d8gu28kx8w227338,nc,36,82079,black,black,dt inventory,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2011,Ford,F-150,XL,SuperCab,automatic,1ftfx1ef7bfb91005,tx,29,131898,white,gray,merchants automotive group,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,sedan,automatic,4t1bf1fk5eu416322,ga,4,12136,black,black,toyota motor sales usa inc/program,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
2002,Honda,CR-V,LX,SUV,,shsrd68422u002383,fl,27,112796,blue,black,autonation honda miami lakes,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf0ekd20635,in,46,8753,white,gray,u-haul,Wed Jan 28 2015 16:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,GL-Class,GL450 4MATIC,suv,automatic,4jgdf7cexda226302,ca,48,34100,,,mercedes-benz usa,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a7xcg043864,fl,42,33173,—,beige,kia motors finance,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2005,Ford,Escape,Limited,SUV,automatic,1fmyu04155ka42679,ca,29,83118,green,gray,quality acceptance,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2005,HUMMER,H2 SUT,Base,crew cab,automatic,5grgn22u35h116599,pa,49,108395,gray,black,daniel thomas sales,Fri Jun 12 2015 02:30:00 GMT-0700 (PDT)
2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap9bm604209,ca,37,43349,black,black,nissan infiniti lt,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2005,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e25c836864,ca,22,151945,silver,black,high bid trading co inc,Wed Mar 04 2015 04:15:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LTZ,crew cab,automatic,3gcuksec6eg104330,nj,43,26574,black,black,dubois & freres ltd,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2014,Chrysler,300,S,Sedan,,2c3ccabg3eh269234,on,42,17094,white,black,chrysler canada inc,Tue Dec 30 2014 10:00:00 GMT-0800 (PST)
2011,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et7bfc43080,md,45,30847,white,black,ford motor credit company llc,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2009,Ford,Taurus,SE,Sedan,automatic,1fahp23w59g110532,il,2,116586,burgundy,beige,emkay inc,Tue Feb 17 2015 02:00:00 GMT-0800 (PST)
2009,Land Rover,LR2,HSE,SUV,,salfr24n59h123060,pa,47,27166,gray,beige,r hollenshead auto sales inc,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
2013,Chevrolet,Spark,1LT,Hatchback,automatic,kl8cd6s9xdc529792,ga,41,39960,black,black,terry cullen southlake chev inc,Tue Jan 27 2015 05:00:00 GMT-0800 (PST)
2015,Chevrolet,Equinox,LS,SUV,automatic,2gnalaek2f1113528,in,19,17977,black,gray,ge fleet services for itself/servicer,Wed Jun 17 2015 05:59:00 GMT-0700 (PDT)
2007,Honda,Civic,Si,Sedan,manual,2hgfa55547h711619,ga,39,96573,blue,black,kern automotive group inc,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2005,Buick,LaCrosse,CXL,Sedan,automatic,2g4wd532451234383,mi,39,166450,blue,gray,jpmorgan chase bank n.a.,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
2009,Hyundai,Sonata,SE,Sedan,automatic,5npeu46c09h560992,fl,,89357,beige,tan,napleton's hyundai,Thu Dec 18 2014 10:15:00 GMT-0800 (PST)
2013,Ford,E-Series Wagon,E-350 Super Duty XL,Van,automatic,1fbss3bl3dda87200,fl,31,52858,white,gray,enterprise veh exchange/rental,Tue Jan 06 2015 09:30:00 GMT-0800 (PST)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr5dr219783,il,38,63943,burgundy,gray,the hertz corporation,Thu Dec 18 2014 10:30:00 GMT-0800 (PST)
2005,mercedes,g55,amg,,automatic,wdcyr71e75x158436,ca,19,143877,black,black,san diego sports cars,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,Sedan,automatic,jthce1bl6d5006887,nj,28,28026,black,black,lexus financial services,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv2cw378120,nj,38,31093,black,black,nissan-infiniti lt,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
1997,Toyota,Avalon,XL,Sedan,,4t1bf12b1vu201087,fl,2,217130,green,tan,enterprise vehicle exchange / rental / tulsa,Fri Feb 06 2015 01:25:00 GMT-0800 (PST)
2002,BMW,3 Series,325i,Sedan,automatic,wbaet37452nj20600,pa,19,132196,blue,gray,bobby rahal bmw of south hills,Wed Jan 14 2015 01:00:00 GMT-0800 (PST)
2011,Infiniti,G Sedan,G37x,G Sedan,,jn1cv6ar9bm355570,nj,37,31367,black,black,nissan infiniti lt,Wed Feb 11 2015 01:30:00 GMT-0800 (PST)
2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk5cr241752,ga,3,14121,black,gray,toyota financial services,Thu Jan 08 2015 10:00:00 GMT-0800 (PST)
2012,Ford,Escape,XLS,SUV,automatic,1fmcu0c72cka65043,ca,27,32978,silver,gray,ford motor credit company llc pd,Thu Feb 19 2015 04:30:00 GMT-0800 (PST)
2013,Ram,1500,Tradesman,Crew Cab,automatic,1c6rr7kt5ds539325,mi,48,26894,red,gray,chrysler capital,Thu Feb 12 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Mustang,GT,coupe,automatic,1zvbp8cf5e5320912,tx,48,6372,—,black,north central ford,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
2013,Ford,Edge,Limited,SUV,automatic,2fmdk4kc1dbb90921,nv,44,59197,gray,black,the hertz corporation,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Honda,Civic,LX,sedan,automatic,19xfb2f59ee258311,pa,39,5751,gray,gray,ahfc/honda lease trust/hvt  inc. eot,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,Fiesta,SE,Sedan,,3fadp4bj0dm186304,ca,41,19518,gray,gray,ford motor credit company llc pd,Thu Feb 19 2015 04:30:00 GMT-0800 (PST)
2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc2dbb42846,oh,48,26604,white,black,ford motor credit company llc,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg8et301968,mn,4,8712,green,black,advantage opco llc,Wed Feb 25 2015 05:00:00 GMT-0800 (PST)
